None,content_type,title,director,cast,country,date_added,release_year,rating,duration,genres,description,date_added_formatted
s26,TV Show,love on the spectrum,none,brooke satchwell,australia,2021-09-21,2021,tv-14,2 Seasons,"docuseries, international tv shows, reality tv","Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",21-09-2021
s27,Movie,minsara kanavu,rajiv menon,"arvind swamy, kajol, prabhu deva, nassar, s.p. balasubrahmanyam, girish karnad",none,2021-09-21,1997,tv-pg,2h 27m,"comedies, international movies, music & musicals",A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,21-09-2021
s28,Movie,grown ups,dennis dugan,"adam sandler, kevin james, chris rock, david spade, rob schneider, salma hayek, maria bello, maya rudolph, colin quinn, tim meadows, joyce van patten",usa,2021-09-20,2010,pg-13,1h 43m,comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",20-09-2021
s29,Movie,dark skies,scott stewart,"keri russell, josh hamilton, j.k. simmons, dakota goyo, kadan rockett, l.j. benet, rich hutchman, myndy crist, annie thurman, jake brennan",usa,2021-09-19,2013,pg-13,1h 37m,"horror movies, sci-fi & fantasy","A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",19-09-2021
s30,Movie,paranoia,robert luketic,"liam hemsworth, gary oldman, amber heard, harrison ford, lucas till, embeth davidtz, julian mcmahon, josh holloway, richard dreyfuss, angela sarafyan","usa, india, france",2021-09-19,2013,pg-13,1h 46m,thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",19-09-2021
s31,Movie,ankahi kahaniya,"ashwiny iyer tiwari, abhishek chaubey, saket chaudhary","abhishek banerjee, rinku rajguru, delzad hiwale, kunal kapoor, zoya hussain, nikhil dwivedi, palomi ghosh",none,2021-09-17,2021,tv-14,1h 51m,"dramas, independent movies, international movies","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",17-09-2021
s32,TV Show,chicago party aunt,none,"lauren ash, rory o'malley, rupaul charles, jill talley, ike barinholtz, jon barinholtz, matthew craig, bob odenkirk, mike hagerty, katie rich, chris witaske",none,2021-09-17,2021,tv-ma,1 Season,tv comedies,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,17-09-2021
s33,TV Show,sex education,none,"asa butterfield, gillian anderson, ncuti gatwa, emma mackey, connor swindells, kedar williams-stirling, alistair petrie",uk,2021-09-17,2020,tv-ma,3 Seasons,"british tv shows, international tv shows, tv comedies","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",17-09-2021
s34,TV Show,squid game,none,"lee jung-jae, park hae-soo, wi ha-jun, oh young-soo, jung ho-yeon, heo sung-tae, kim joo-ryoung, tripathi anupam, you seong-joo, lee you-mi",none,2021-09-17,2021,tv-ma,1 Season,"international tv shows, tv dramas, tv thrillers","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",17-09-2021
s35,TV Show,tayo and little wizards,none,"dami lee, jason lee, bommie catherine han, jennifer waescher, nancy kim",none,2021-09-17,2020,tv-y7,1 Season,kids' tv,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,17-09-2021
s36,Movie,the father who moves mountains,daniel sandu,"adrian titieni, elena purea, judith state, valeriu andriuță, tudor smoleanu, virgil aioanei, radu botar, petronela grigorescu, bogdan nechifor, cristian bota",none,2021-09-17,2021,tv-ma,1h 50m,"dramas, international movies, thrillers","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",17-09-2021
s37,Movie,the stronghold,cédric jimenez,"gilles lellouche, karim leklou, françois civil, adèle exarchopoulos, kenza fortas, cyril lecomte, michaël abiteboul, idir azougli, vincent darmuzey, jean-yves berteloot",none,2021-09-17,2021,tv-ma,1h 45m,"action & adventure, dramas, international movies","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",17-09-2021
s38,TV Show,angry birds,none,"antti pääkkönen, heljä heikkinen, lynne guaglione, pasi ruohonen, rauno ahonen",finland,2021-09-16,2018,tv-y7,1 Season,"kids' tv, tv comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",16-09-2021
s39,Movie,birth of the dragon,george nolfi,"billy magnussen, ron yuan, qu jingjing, terry chen, vanness wu, jin xing, philip ng, xia yu, yu xia","china, canada, usa",2021-09-16,2017,pg-13,1h 36m,"action & adventure, dramas","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",16-09-2021
s40,TV Show,chhota bheem,none,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",india,2021-09-16,2021,tv-y7,3 Seasons,kids' tv,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",16-09-2021
s41,TV Show,he-man and the masters of the universe,none,"yuri lowenthal, kimberly brooks, antony del rio, trevor devall, ben diskin, grey griffin, david kaye, tom kenny, judy alice lee, roger craig smith, fred tatasciore",usa,2021-09-16,2021,tv-y7,1 Season,"kids' tv, tv sci-fi & fantasy",Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,16-09-2021
s42,Movie,jaws,steven spielberg,"roy scheider, robert shaw, richard dreyfuss, lorraine gary, murray hamilton, carl gottlieb, jeffrey kramer, susan backlinie, jonathan filley, ted grossman",usa,2021-09-16,1975,pg,2h 4m,"action & adventure, classic movies, dramas","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",16-09-2021
s43,Movie,jaws 2,jeannot szwarc,"roy scheider, lorraine gary, murray hamilton, joseph mascolo, jeffrey kramer, collin wilcox paxton, ann dusenberry, mark gruner, barry coe, susan french",usa,2021-09-16,1978,pg,1h 56m,"dramas, horror movies, thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",16-09-2021
s44,Movie,jaws 3,joe alves,"dennis quaid, bess armstrong, simon maccorkindale, louis gossett jr., john putch, lea thompson, p.h. moriarty, dan blasko, liz morris, lisa maurer",usa,2021-09-16,1983,pg,1h 38m,"action & adventure, horror movies, thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",16-09-2021
s45,Movie,jaws: the revenge,joseph sargent,"lorraine gary, lance guest, mario van peebles, karen young, michael caine, judith barsi, mitchell anderson, lynn whitfield",usa,2021-09-16,1987,pg-13,1h 31m,"action & adventure, horror movies, thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",16-09-2021
s46,Movie,my heroes were cowboys,tyler greco,none,none,2021-09-16,2021,pg,23m,documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",16-09-2021
s47,Movie,safe house,daniel espinosa,"denzel washington, ryan reynolds, vera farmiga, brendan gleeson, sam shepard, rubén blades, nora arnezeder, robert patrick, liam cunningham, joel kinnaman","south africa, usa, japan",2021-09-16,2012,r,1h 55m,action & adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,16-09-2021
s48,TV Show,the smart money woman,bunmi ajakaiye,"osas ighodaro, ini dima-okojie, kemi lala akindoju, toni tones, ebenezer eno, eso okolocha dike, patrick diabuah, karibi fubara, temisan emmanuel, timini egbuson",none,2021-09-16,2020,tv-ma,1 Season,"international tv shows, romantic tv shows, tv comedies","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",16-09-2021
,Movie,training day,antoine fuqua,"denzel washington, ethan hawke, scott glenn, tom berenger, harris yulin, raymond j. barry, cliff curtis, dr. dre, snoop dogg, macy gray, eva mendes",usa,2021-09-16,2001,r,2h 2m,"dramas, thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,16-09-2021
s50,TV Show,castle and castle,none,"richard mofe-damijo, dakore akande, bimbo manuel, blossom chukwujekwu, deyemi okanlawon, etim effiong, denola grey, duke akintola, eku edewor, ade laoye, anee icha, kevin ushi, jude chukwuka, amanda afolabi",nigeria,2021-09-15,2021,tv-ma,2 Seasons,"international tv shows, tv dramas","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",15-09-2021
s51,TV Show,dharmakshetra,none,"kashmira irani, chandan anand, dinesh mehta, ankit arora, pushkar goggiaa, anjali rana, aarya dharmchand kumar, amit behl, maleeka ghai",india,2021-09-15,2014,tv-pg,1 Season,"international tv shows, tv dramas, tv sci-fi & fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",15-09-2021
s52,Movie,inuyasha the movie 2: the castle beyond the looking glass,toshiya shinohara,"kappei yamaguchi, satsuki yukino, mieko harada, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, kenichi ogata, toshiyuki morikawa, izumi ogami",japan,2021-09-15,2002,tv-14,1h 39m,"action & adventure, anime features, international movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",15-09-2021
s53,Movie,inuyasha the movie 3: swords of an honorable ruler,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, ken narita, akio otsuka, kikuko inoue",japan,2021-09-15,2003,tv-14,1h 39m,"action & adventure, anime features, international movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,15-09-2021
s54,Movie,inuyasha the movie 4: fire on the mystic island,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, ken narita, cho, mamiko noto, nobutoshi canna",japan,2021-09-15,2004,tv-pg,1h 28m,"action & adventure, anime features, international movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",15-09-2021
s55,Movie,inuyasha the movie: affections touching across time,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, kenichi ogata, noriko hidaka, hisako kyoda, ken narita, tomokazu seki",japan,2021-09-15,2001,tv-pg,1h 40m,"action & adventure, anime features, international movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.",15-09-2021
s56,TV Show,nailed it,none,"nicole byer, jacques torres",usa,2021-09-15,2021,tv-pg,6 Seasons,reality tv,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",15-09-2021
s57,Movie,naruto shippuden the movie: blood prison,masahiko murata,"junko takeuchi, chie nakamura, rikiya koyama, kazuhiko inoue, masaki terasoma, mie sonozaki, yuichi nakamura, kengo kawanishi, kosei hirota, masako katsuki",japan,2021-09-15,2011,tv-14,1h 42m,"action & adventure, anime features, international movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",15-09-2021
s58,Movie,naruto shippûden the movie: bonds,hajime kamegaki,"junko takeuchi, chie nakamura, noriaki sugiyama, unsho ishizuka, motoko kumai, kazuhiko inoue, rikiya koyama, showtaro morikubo, nana mizuki, satoshi hino, shinji kawada",japan,2021-09-15,2008,tv-pg,1h 33m,"action & adventure, anime features, international movies","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.",15-09-2021
s59,Movie,naruto shippûden the movie: the will of fire,masahiko murata,"junko takeuchi, chie nakamura, kazuhiko inoue, satoshi hino, showtaro morikubo, kentaro ito, ryoka yuzuki, kohsuke toriumi, nana mizuki, shinji kawada, yoichi masukawa, koichi tochika, yukari tamura",japan,2021-09-15,2009,tv-pg,1h 36m,"action & adventure, anime features, international movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",15-09-2021
s60,Movie,naruto shippuden: the movie,hajime kamegaki,"junko takeuchi, chie nakamura, yoichi masukawa, koichi tochika, ayumi fujimura, keisuke oda, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kisho taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto, masashi ebara, kazuhiko inoue, showtaro morikubo, romi park, daisuke ono, seizo kato",japan,2021-09-15,2007,tv-pg,1h 35m,"action & adventure, anime features, international movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.",15-09-2021
s61,Movie,naruto shippuden: the movie: the lost tower,masahiko murata,"junko takeuchi, chie nakamura, satoshi hino, rikiya koyama, nobuaki fukuda, kenji hamada, keiko nemoto, saori hayami, yumi toma, yuko kobayashi, fujiko takimoto, mutsumi tamura, mayuki makiguchi, toshiyuki morikawa",japan,2021-09-15,2010,tv-14,1h 25m,"action & adventure, anime features, international movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",15-09-2021
s62,Movie,naruto the movie 2: legend of the stone of gelel,hirotsugu kawasaki,"junko takeuchi, gamon kaai, chie nakamura, showtaro morikubo, akira ishida, yasuyuki kase, urara takano, sachiko kojima, houko kuwashima, takako honda",japan,2021-09-15,2005,tv-pg,1h 37m,"action & adventure, anime features, international movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",15-09-2021
s63,Movie,naruto the movie 3: guardians of the crescent moon kingdom,toshiyuki tsuru,"junko takeuchi, chie nakamura, yoichi masukawa, kazuhiko inoue, akio otsuka, kyousuke ikeda, marika hayashi, umeji sasaki, masashi sugawara, hisao egawa",japan,2021-09-15,2006,tv-pg,1h 35m,"action & adventure, anime features, international movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",15-09-2021
s64,Movie,naruto the movie: ninja clash in the land of snow,tensai okamura,"junko takeuchi, noriaki sugiyama, chie nakamura, kazuhiko inoue, yuhko kaida, tsutomu isobe, hirotaka suzuoki, jun karasawa, harii kaneko, ikuo nishikawa",japan,2021-09-15,2004,tv-pg,1h 23m,"action & adventure, anime features, international movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",15-09-2021
s65,Movie,nightbooks,david yarovesky,"winslow fegley, lidya jewett, krysten ritter",none,2021-09-15,2021,tv-pg,1h 43m,children & family movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,15-09-2021
s66,TV Show,numberblocks,none,"beth chalmers, david holt, marcel mccalla, teresa gallagher",uk,2021-09-15,2021,tv-y,6 Seasons,kids' tv,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",15-09-2021
s67,TV Show,raja rasoi aur anya kahaniyan,none,none,india,2021-09-15,2014,tv-g,1 Season,"docuseries, international tv shows","Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",15-09-2021
s68,TV Show,saved by the bell,none,"mark-paul gosselaar, tiffani thiessen, mario lopez, lark voorhies, elizabeth berkley, dustin diamond, dennis haskins",usa,2021-09-15,1994,tv-pg,9 Seasons,"kids' tv, tv comedies","From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",15-09-2021
s69,Movie,schumacher,"hanns-bruno kammertöns, vanessa nöcker, michael wech",michael schumacher,none,2021-09-15,2021,tv-14,1h 53m,"documentaries, international movies, sports movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",15-09-2021
s70,TV Show,stories by rabindranath tagore,none,none,india,2021-09-15,2015,tv-pg,1 Season,"international tv shows, tv dramas",The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,15-09-2021
s71,TV Show,too hot to handle: latino,none,itatí cantoral,none,2021-09-15,2021,tv-ma,1 Season,"international tv shows, reality tv, romantic tv shows","On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",15-09-2021
s72,Movie,a storybots space adventure,david a. vargas,"evan spiridellis, erin fitzgerald, jeff gill, fred tatasciore, evan michael lee, jared isaacman, sian proctor, chris sembroski, hayley arceneaux",none,2021-09-14,2021,tv-y,13m,children & family movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,14-09-2021
s73,TV Show,jack whitehall: travels with my father,none,"jack whitehall, michael whitehall",uk,2021-09-14,2021,tv-ma,5 Seasons,"british tv shows, docuseries, international tv shows","Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",14-09-2021
s74,Movie,king of boys,kemi adetiba,"sola sobowale, adesua etomi, remilekun ""reminisce"" safaru, tobechukwu ""illbliss"" ejiofor, toni tones, paul sambo, jide kosoko, sharon ooja",nigeria,2021-09-14,2018,tv-ma,3h 2m,"dramas, international movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",14-09-2021
s75,TV Show,the world's most amazing vacation rentals,none,none,none,2021-09-14,2021,tv-pg,2 Seasons,reality tv,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",14-09-2021
s76,Movie,you vs. wild: out cold,ben simms,"bear grylls, jason derek prempeh",none,2021-09-14,2021,tv-g,1h 46m,children & family movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",14-09-2021
s77,TV Show,yowamushi pedal,none,"daiki yamashita, kohsuke toriumi, jun fukushima, hiroki yasumoto, showtaro morikubo, kentaro ito, daisuke kishio, yoshitsugu matsuoka, junichi suwabe, ayaka suwa, megumi han, tomoaki maeno, tsubasa yonaga, tetsuya kakihara, satoshi hino, hiroyuki yoshino, atsushi abe, koji yusa, kouki miyata, hiro shimono, wataru hatano, yuichi nakamura, kenji nojima, mamoru miyano, daisuke ono, yuma uchida, jun fukuyama",japan,2021-09-14,2013,tv-14,1 Season,"anime series, international tv shows","A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",14-09-2021
